target,eval_cohort,in_sample,loco_calibrated_t,calib_deleak_dropped,positive_retention,positive_retention_cp_lb,positive_retention_worst_patient,negative_removal,n_patients_losing_a_positive,meets_bar_cp_lb>=0.95
0.9,gartner,False,0.4,0,1.0,0.937,1.0,0.111,0,False
0.9,improve,False,0.65,10,0.7302,0.6943,0.0,0.3322,45,False
0.9,multimer,True,0.4,10,0.9706,0.8679,0.6667,0.0934,1,False
0.95,gartner,False,0.25,0,1.0,0.937,1.0,0.0446,0,False
0.95,improve,False,0.15,10,0.9914,0.9805,0.8,0.0055,4,True
0.95,multimer,True,0.25,10,0.9706,0.8679,0.6667,0.0312,1,False
0.975,gartner,False,0.2,0,1.0,0.937,1.0,0.0204,0,False
0.975,improve,False,0.0,10,1.0,0.9936,1.0,0.0,0,True
0.975,multimer,True,0.25,10,0.9706,0.8679,0.6667,0.0312,1,False
0.99,gartner,False,0.05,0,1.0,0.937,1.0,0.0003,0,False
0.99,improve,False,0.0,10,1.0,0.9936,1.0,0.0,0,True
0.99,multimer,True,0.05,10,1.0,0.9157,1.0,0.0006,0,False
